# The national IBAN structures this scanner enforces, and the evidence for each.
#
#     <country> <bban-notation> <example-bban>
#
# WHY THIS FILE IS COMMITTED. scripts/scan_identifiers.py carries IBAN_BBAN, a regular
# expression per country, and a wrong character class there SILENTLY stops reporting
# real account numbers for that country -- the one error this scanner must never make.
# A table that only agrees with itself is not evidence, so the inputs it was generated
# from are committed beside it and tests/test_scan_identifiers.py regenerates the table
# from this file and refuses any disagreement.
#
# COLUMN 2, the notation, is the registry structure: `n` digits, `a` letters, `c`
# alphanumeric, each preceded by a field width. Its widths must sum to that country's
# entry in IBAN_LENGTHS minus the four-character header -- an independent check, because
# IBAN_LENGTHS was curated separately and earlier.
#
# COLUMN 3 is the BBAN of a REAL published example for that country, and it is the only
# genuinely independent check: it comes from a different source than column 2, so a
# structure that describes no real account is caught rather than confirmed.
#
# The country code and check digits are DELIBERATELY ABSENT from column 3. Written whole,
# these would be 89 checksum-valid account identifiers committed to this repository --
# findings in the tree of the scanner that exists to find them. The structure test reads
# only the BBAN, so nothing is lost by storing only the BBAN. A `-` means no published
# example was available and only the notation and length checks apply to that country.
#
# To re-derive this file, see the regeneration test. Changing a line here without
# changing IBAN_BBAN, or the reverse, turns the suite red.
AD 4!n4!n12!c 00080001001234567890
AE 3!n16!n 0090000000123456789
AL 8!n16!c 202111090000000001234567
AT 5!n11!n 3200000012345864
AZ 4!a20!c VTBA00000000001234567890
BA 3!n3!n8!n2!n 3385804800211234
BE 3!n7!n2!n 096123456769
BG 4!a4!n2!n8!c STSA93000123456789
BH 4!a14!c CITI00001077181611
BI 5!n5!n11!n2!n 20001100010000123456789
BR 8!n5!n10!n1!a1!c 00000000000010932840814P2
BY 4!c4!n16!c AKBB10100000002966000000
CH 5!n12!c 04835012345678009
CR 4!n14!n 015108410026012345
CY 3!n5!n16!c 002001950000357001234567
CZ 4!n16!n 08000000001234567899
DE 8!n10!n 512108001245126199
DJ 5!n5!n11!n2!n 10002010010409943020008
DK 4!n9!n1!n 20000123456789
DO 4!c20!n ACAU00000000000123456789
EE 2!n14!n 1000001020145685
EG 4!n4!n17!n 0002000156789012345180002
ES 4!n4!n1!n1!n10!n 21000813610123456789
FI 3!n11!n 10093000123458
FK 2!a12!n SC987654321098
FO 4!n9!n1!n 64600004330406
FR 5!n5!n11!c2!n 30006000011234567890189
GB 4!a6!n8!n BUKB20201555555555
GE 2!a16!n NB0000000123456789
GI 4!a15!c XAPO000001234567890
GL 4!n9!n1!n 64710002171039
GR 3!n4!n16!c 08100010000001234567890
GT 4!c20!c AGRO00000000001234567890
HN 4!a20!n PISA00000000000000123124
HR 7!n10!n 23600001101234565
HU 3!n4!n1!n15!n1!n 116000060000000012345676
IE 4!a6!n8!n BOFI90008412345671
IL 3!n3!n13!n 0108000000012612345
IQ 4!a3!n12!n CBIQ861800101010500
IS 4!n2!n6!n10!n 0001121234563108962099
IT 1!a5!n5!n12!c X0542811101000000123456
JO 4!a4!n18!c CBJO0000000000001234567890
KW 4!a22!c CBKU0000000000001234560101
KZ 3!n13!c 4350000012344567
LB 4!n20!c 000700000000123123456123
LC 4!a24!c BOSL123456789012345678901234
LI 5!n12!c 08806123456789012
LT 5!n11!n 1010012345678901
LU 3!n13!c 0010001234567891
LV 4!a13!c HABA0012345678910
LY 3!n3!n15!n 021001000000123456789
MC 5!n5!n11!c2!n 10096180790123456789085
MD 2!c18!c EX000000000001234567
ME 3!n13!n2!n 510000012345678920
MK 3!n10!c2!n 200002785123453
MN 4!n12!n 0050099123456789
MR 5!n5!n11!n2!n 00020001010000123456753
MT 4!a5!n18!c MALT01100000000000000000123
MU 4!a2!n2!n12!n3!n3!a BOMM0101123456789101000MUR
NI 4!a20!n BAMC00000000000003123123
NL 4!a10!n ABNA0123456789
NO 4!n6!n1!n 30001234567
OM 3!n16!c 0280000012345678901
PK 4!a16!c SCBL0000001123456702
PL 8!n16!n 105000997603123456789123
PS 4!a21!c PALS000000000400123456702
PT 4!n4!n11!n2!n 003310311234567890197
QA 4!a21!c QNBA000000000000693123456
RO 4!a16!c BACX0000001234567890
RS 3!n13!n2!n 105008123123123173
RU 9!n5!n15!c 04452560040702810412345678901
SA 2!n18!c 20000001234567891234
SC 4!a2!n2!n16!n3!a MCBL01031234567890123456USD
SD 2!n12!n 11123456789012
SE 3!n16!n1!n 80000810340009783242
SI 5!n8!n2!n 192001234567892
SK 4!n6!n10!n 75000000000012345671
SM 1!a5!n5!n12!c P0854009812123456789123
SO 4!n3!n12!n 1000001123123456789
ST 4!n4!n11!n2!n 000200000289355710148
SV 4!a20!n ACAT00000000000000123123
TL 3!n14!n2!n 0010012345678910106
TN 2!n3!n13!n2!n 04018104004942712345
TR 5!n1!n16!c 0006200009112345678901
UA 6!n19!c 3052992990004149123456789
VA 3!n15!n 001123000012345678
VG 4!a16!n ABVI0000000123456789
XK 4!n10!n2!n 1212012345678906
YE 4!a4!n18!c ALMF0000000000001234560101
